Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Houssem Aouar;FRA;MF;Lyon;Ligue 1;24;9;6;1;1.33
Adil Aouchiche;FRA;MFFW;Lorient;Ligue 1;20;6;0;0;3.33
Dennis Appiah;FRA;DFMF;Nantes;Ligue 1;30;15;9;0;0.57
Mauro Arambarri;URU;MF;Getafe;La Liga;27;7;7;0;0.92
Charles Aránguiz;CHI;MF;Leverkusen;Bundesliga;33;10;4;1;0.91
Ronald Araújo;URU;DF;Barcelona;La Liga;23;10;10;0;0.63
Cameron Archer;ENG;FWMF;Aston Villa;Premier League;21;6;0;0;0
Taïryk Arconte;FRA;FWMF;Brest;Ligue 1;19;2;0;0;2.5
Alphonse Areola;FRA;GK;West Ham;Premier League;29;2;0;0;0
Joe Aribo;NGA;MFFW;Southampton;Premier League;26;19;11;2;1.07
Adam Armstrong;ENG;FW;Southampton;Premier League;26;20;12;1;1.67
Stuart Armstrong;SCO;MFFW;Southampton;Premier League;30;18;7;1;1.53
Marko Arnautovi?;AUT;FW;Bologna;Serie A;33;14;14;8;1.59
Maximilian Arnold;GER;MF;Wolfsburg;Bundesliga;28;20;20;4;1.04
Kepa Arrizabalaga;ESP;GK;Chelsea;Premier League;28;14;14;0;0
Roberto Arroyo;ESP;MF;Valladolid;La Liga;19;1;0;0;0
Tolgay Arslan;GER;MF;Udinese;Serie A;32;20;10;1;2.09
Arthur;BRA;FW;Fiorentina;Serie A;24;16;6;3;3.24
Santiago Arzamendia;PAR;MFDF;Cádiz;La Liga;24;8;3;0;0.91
Takuma Asano;JPN;FWMF;Bochum;Bundesliga;28;11;8;1;2.68
Santiago Ascacíbar;ARG;MF;Cremonese;Serie A;25;13;7;0;1.73
Sergio Asenjo;ESP;GK;Valladolid;La Liga;33;5;5;0;0
Marco Asensio;ESP;FWMF;Real Madrid;La Liga;27;15;5;2;3.75
Kristoffer Askildsen;NOR;MF;Lecce;Serie A;22;16;6;0;1.36
Fisnik Asllani;KVX;FWMF;Hoffenheim;Bundesliga;20;4;0;0;2.86
Kristjan Asllani;ALB;MF;Inter;Serie A;20;12;2;0;1.82
Iago Aspas;ESP;FW;Celta Vigo;La Liga;35;20;18;9;2.27
Lorenz Assignon;TOG;DF;Rennes;Ligue 1;22;6;2;0;1.36
Youcef Atal;ALG;DFMF;Nice;Ligue 1;26;13;7;1;1.27
Pierre-Emerick Aubameyang;GAB;FW;Chelsea;Premier League;33;11;4;1;2.08
Pierre-Emerick Aubameyang;GAB;FW;Barcelona;La Liga;33;1;0;0;10
Emil Audero;ITA;GK;Sampdoria;Serie A;26;21;21;0;0
Tommaso Augello;ITA;DF;Sampdoria;Serie A;28;20;18;1;0.33
Ludwig Augustinsson;SWE;DF;Aston Villa;Premier League;28;3;1;0;2.22
Ludwig Augustinsson;SWE;DF;Mallorca;La Liga;28;1;1;0;0
Serge Aurier;CIV;DF;Nott'ham Forest;Premier League;30;14;12;1;0.5
Mathias Autret;FRA;MFFW;Auxerre;Ligue 1;31;19;15;2;1.52
Ezequiel Ávila;ARG;FWMF;Osasuna;La Liga;29;18;16;7;3.1
Cédric Avinel;GLP;DF;Ajaccio;Ligue 1;36;14;12;1;0.16
Taiwo Awoniyi;NGA;FW;Nott'ham Forest;Premier League;25;16;9;4;2.35
Mehmet-Can Aydin;GER;DF;Schalke 04;Bundesliga;21;10;1;0;1.52
André Ayew;GHA;FW;Nott'ham Forest;Premier League;33;2;0;0;0
Jordan Ayew;GHA;FWMF;Crystal Palace;Premier League;31;22;18;1;0.78
Kaan Ayhan;TUR;DF;Sassuolo;Serie A;28;10;5;0;0.16
Luke Ayling;ENG;DF;Leeds United;Premier League;31;14;7;0;0.9
Ayman Azhil;MAR;MF;Leverkusen;Bundesliga;21;1;0;0;0
Sardar Azmoun;IRN;MFFW;Leverkusen;Bundesliga;28;10;2;0;3.43
César Azpilicueta;ESP;DF;Chelsea;Premier League;33;18;10;0;0.44
Sanoussy Ba;GER;DF;RB Leipzig;Bundesliga;19;1;0;0;0
Iddrisu Baba;GHA;MF;Mallorca;La Liga;27;17;12;0;0.63
Sr?an Babi?;SRB;DF;Almería;La Liga;26;18;17;1;0.29
Loïc Bade;FRA;DF;Sevilla;La Liga;22;6;5;0;0.2
Loïc Bade;FRA;DF;Rennes;Ligue 1;22;1;1;0;2
Édgar Badía;ESP;GK;Elche;La Liga;31;20;20;0;0
Benoît Badiashile;FRA;DF;Chelsea;Premier League;21;4;4;0;1
Benoît Badiashile;FRA;DF;Monaco;Ligue 1;21;11;9;2;0.54
Alex Baena;ESP;MFFW;Villarreal;La Liga;21;18;10;4;2.96
Jaime Báez;URU;DF;Cremonese;Serie A;27;2;1;0;1.82
Leon Bailey;JAM;FWMF;Aston Villa;Premier League;25;20;17;4;2.4
Eric Bailly;CIV;DF;Marseille;Ligue 1;28;7;3;0;0.51
Dénys Bain;FRA;DF;Auxerre;Ligue 1;29;2;1;0;0
Brandon Baiye;BEL;MF;Clermont Foot;Ligue 1;22;7;0;0;0
Stefan Bajcetic;ESP;MF;Liverpool;Premier League;18;5;2;1;0.91
Nedim Bajrami;ALB;MFFW;Empoli;Serie A;23;19;8;1;2
Nedim Bajrami;ALB;MF;Sassuolo;Serie A;23;1;0;0;6.67
Cédric Bakambu;COD;MF;Marseille;Ligue 1;31;3;0;0;0
Mitchel Bakker;NED;MFDF;Leverkusen;Bundesliga;22;17;11;2;0.93
Ridle Baku;GER;DF;Wolfsburg;Bundesliga;24;20;19;5;1.09
Tommaso Baldanzi;ITA;MF;Empoli;Serie A;19;13;11;4;1.41
Alejandro Balde;ESP;DF;Barcelona;La Liga;19;18;15;0;0.45
Thierno Balde;FRA;DF;Troyes;Ligue 1;20;18;16;0;0.27
Carlos Baleba;CMR;MF;Lille;Ligue 1;19;9;3;0;2
Mikel Balenziaga;ESP;DF;Athletic Club;La Liga;34;1;0;0;0
Leonardo Balerdi;ARG;DF;Marseille;Ligue 1;24;23;20;0;0.15
Iván Balliu;ALB;DF;Rayo Vallecano;La Liga;31;20;20;0;0.25
Fodé Ballo-Touré;SEN;DF;Milan;Serie A;26;3;2;1;0.45
Folarin Balogun;ENG;FW;Reims;Ligue 1;21;21;18;14;3.33
Abdoulaye Bamba;CIV;DF;Angers;Ligue 1;32;9;4;0;0
Jonathan Bamba;FRA;FW;Lille;Ligue 1;26;18;16;4;2.47
Patrick Bamford;ENG;FW;Leeds United;Premier League;29;14;6;1;3.03
Lameck Banda;ZAM;FWMF;Lecce;Serie A;22;22;11;1;1.79
Filippo Bandinelli;ITA;MF;Empoli;Serie A;27;22;18;2;1.08
Léo Baptistão;BRA;FWMF;Almería;La Liga;30;16;13;3;2.95
Shandon Baptiste;GRN;MF;Brentford;Premier League;24;12;4;0;0.42
Antonín Barák;CZE;MF;Hellas Verona;Serie A;28;1;0;0;0
Antonín Barák;CZE;MF;Fiorentina;Serie A;28;17;11;1;1.44
Andrea Barberis;ITA;MF;Monza;Serie A;29;7;3;0;0.57
Bradley Barcola;FRA;FWMF;Lyon;Ligue 1;20;12;3;1;2.7
Melvin Bard;FRA;DF;Nice;Ligue 1;22;20;16;0;0.18
Keidi Bare;ALB;MF;Espanyol;La Liga;25;11;3;0;1.08
Nicolò Barella;ITA;MF;Inter;Serie A;26;20;19;5;0.95
Kike Barja;ESP;FWMF;Osasuna;La Liga;25;10;4;1;0.93
Ross Barkley;ENG;FWMF;Nice;Ligue 1;29;15;6;3;3.24
Aymen Barkok;MAR;MF;Mainz 05;Bundesliga;24;11;2;0;2.35
