Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Tristan Dingomé;CMR;MF;Troyes;Ligue 1;31;8;0;0;2.73
Eren Dinkçi;GER;FWMF;Werder Bremen;Bundesliga;21;7;0;0;2
Sinaly Diomande;CIV;DF;Lyon;Ligue 1;21;11;10;0;0.51
Lois Diony;FRA;FW;Angers;Ligue 1;30;8;5;1;2.04
Issa Diop;FRA;DF;Fulham;Premier League;26;15;12;1;0.24
Sofiane Diop;FRA;MFFW;Nice;Ligue 1;22;15;10;1;1.82
Sofiane Diop;FRA;MF;Monaco;Ligue 1;22;1;1;1;2.86
Yehvann Diouf;FRA;GK;Reims;Ligue 1;23;15;15;0;0
Axel Disasi;FRA;DF;Monaco;Ligue 1;24;23;22;2;0.64
Malcom Abdulai Ares Djalo;ESP;FW;Athletic Club;La Liga;21;1;0;0;10
Tiago Djaló;POR;DF;Lille;Ligue 1;22;21;20;2;0.62
Djené;TOG;DF;Getafe;La Liga;31;18;18;0;0.18
Moussa Djenepo;MLI;DFFW;Southampton;Premier League;24;12;6;0;0.47
Koffi Djidji;CIV;DF;Torino;Serie A;30;19;17;1;0.47
Alexander Djiku;GHA;DF;Strasbourg;Ligue 1;28;21;21;1;0.55
Berat Djimsiti;ALB;DF;Atalanta;Serie A;29;10;6;0;0.29
Moussa Djitte;SEN;FW;Ajaccio;Ligue 1;23;2;0;0;0
Marko Dmitrovi?;SRB;GK;Sevilla;La Liga;31;3;2;0;0
Alan Do Marcolino;GAB;FW;Rennes;Ligue 1;20;1;0;0;0
Ben Doak;SCO;FW;Liverpool;Premier League;17;2;0;0;0
Ritsu Doan;JPN;FWMF;Freiburg;Bundesliga;24;20;18;2;2.18
Dodô;BRA;DF;Fiorentina;Serie A;24;17;15;0;0.3
Danilho Doekhi;NED;DF;Union Berlin;Bundesliga;24;11;11;4;0.46
Matt Doherty;IRL;DFMF;Tottenham;Premier League;31;12;7;1;1.35
Josh Doig;SCO;DF;Hellas Verona;Serie A;20;14;10;2;1.44
Jeremy Doku;BEL;MFFW;Rennes;Ligue 1;20;15;2;0;1.49
Kasper Dolberg;DEN;FW;Sevilla;La Liga;25;4;2;0;0.91
Kasper Dolberg;DEN;FWMF;Hoffenheim;Bundesliga;25;5;2;0;1.25
Carlos Dominguez;ESP;MF;Celta Vigo;La Liga;22;1;0;0;0
Nicolás Domínguez;ARG;MF;Bologna;Serie A;24;18;15;1;1.42
John Donald;ESP;DF;Elche;La Liga;22;3;2;0;0
Giulio Donati;ITA;DF;Monza;Serie A;33;4;2;0;0.42
Kyliane Dong;FRA;DFMF;Troyes;Ligue 1;18;3;0;0;1.67
Gianluigi Donnarumma;ITA;GK;Paris S-G;Ligue 1;23;23;23;0;0
Niklas Dorsch;GER;MF;Augsburg;Bundesliga;25;4;0;0;0
Gabriel Dos Santos;BRA;DF;Arsenal;Premier League;25;21;21;2;0.9
Jodel Dossou;BEN;MFDF;Clermont Foot;Ligue 1;30;9;2;1;2.07
Lohann Doucet;FRA;MFFW;Nantes;Ligue 1;20;8;0;0;1.11
Abdoulaye Doucouré;MLI;MF;Everton;Premier League;30;11;3;0;1.14
Cheick Doucouré;MLI;MF;Crystal Palace;Premier League;23;20;20;0;1.26
Ckene Doucouré;COM;FWMF;Lorient;Ligue 1;20;5;0;0;5
Désiré Doué;FRA;MFFW;Rennes;Ligue 1;17;16;7;3;1.67
Guela Doué;FRA;FW;Rennes;Ligue 1;20;1;0;0;0
Ismaël Doukouré;FRA;DF;Strasbourg;Ligue 1;19;13;11;1;0.35
Kamory Doumbia;MLI;MF;Reims;Ligue 1;19;19;11;2;1.92
Souleyman Doumbia;CIV;DFFW;Angers;Ligue 1;26;18;18;0;0.24
Flynn Downes;ENG;MF;West Ham;Premier League;24;10;3;0;0.59
Bart?omiej Dr?gowski;POL;GK;Spezia;Serie A;25;20;20;0;0
Cody Drameh;ENG;DF;Leeds United;Premier League;21;1;1;0;0
Dion Drena Beljo;CRO;FW;Augsburg;Bundesliga;20;5;5;0;1.11
Dominick Drexler;GER;MFFW;Schalke 04;Bundesliga;32;16;10;2;1.08
Domingos Duarte;POR;DF;Getafe;La Liga;27;19;19;0;0.59
Marvin Ducksch;GER;FW;Werder Bremen;Bundesliga;28;20;20;4;2.7
Ondrej Duda;SVK;MF;Hellas Verona;Serie A;28;2;1;0;0.71
Ondrej Duda;SVK;MF;Köln;Bundesliga;28;13;9;0;1.56
Shane Duffy;IRL;FWDF;Fulham;Premier League;31;4;0;0;0
Rémy Dugimont;FRA;FWMF;Auxerre;Ligue 1;36;10;0;0;3.33
Denzel Dumfries;NED;DF;Inter;Serie A;26;18;14;1;1.5
Alfred Duncan;GHA;MF;Fiorentina;Serie A;29;13;6;0;0.33
Lewis Dunk;ENG;DF;Brighton;Premier League;31;21;21;0;0.48
Maxime Dupé;FRA;GK;Toulouse;Ligue 1;29;22;22;0;0
Jhon Durán;COL;FW;Aston Villa;Premier League;19;1;0;0;0
Pablo Durán;ESP;MFDF;Celta Vigo;La Liga;22;4;0;0;0
Hugo Duro;ESP;FWMF;Valencia;La Liga;23;15;4;1;2.67
Jean-Kevin Duverne;FRA;DF;Brest;Ligue 1;25;19;14;0;0.13
Paulo Dybala;ARG;MFFW;Roma;Serie A;29;16;15;8;2.82
Edin D?eko;BIH;FW;Inter;Serie A;36;21;15;7;3.61
Malcolm Ebiowei;ENG;MFFW;Crystal Palace;Premier League;19;3;0;0;0
Festy Ebosele;IRL;DF;Udinese;Serie A;20;5;0;0;4
Enzo Ebosse;CMR;DF;Udinese;Serie A;23;18;8;0;0.3
Tyronne Ebuehi;NGA;DF;Empoli;Serie A;27;13;9;1;1.1
Ederson;BRA;GK;Manchester City;Premier League;29;21;21;0;0
Éderson;BRA;MFFW;Atalanta;Serie A;23;19;12;1;1.75
Odsonne Édouard;FRA;FWMF;Crystal Palace;Premier League;25;20;12;3;2.07
Samuel Edozie;ENG;FWMF;Southampton;Premier League;20;15;5;0;1.33
Maximilian Eggestein;GER;MF;Freiburg;Bundesliga;26;19;15;0;0.39
Lilian Egloff;GER;MFFW;Stuttgart;Bundesliga;20;10;2;0;2.96
Íñigo Eguaras;ESP;MF;Almería;La Liga;30;16;7;1;0.71
Kingsley Ehizibue;NED;DF;Udinese;Serie A;27;16;5;1;0.72
Kingsley Ehizibue;NED;DF;Köln;Bundesliga;27;1;1;0;1.43
Chidera Ejuke;NGA;FWMF;Hertha BSC;Bundesliga;25;15;9;0;2.39
Albin Ekdal;SWE;MF;Spezia;Serie A;33;15;5;0;0.92
Hugo Ekitike;FRA;FW;Paris S-G;Ligue 1;20;16;8;3;2.2
Emmanuel Ekong;SWE;FWMF;Empoli;Serie A;20;2;0;0;5
Anthony Elanga;SWE;FW;Manchester Utd;Premier League;20;13;5;0;1.82
Alberth Elis;HON;MFFW;Brest;Ligue 1;27;2;0;0;0
Mikael Ellertsson;ISL;MFDF;Spezia;Serie A;20;11;1;0;1.05
Harvey Elliott;ENG;MFFW;Liverpool;Premier League;19;20;13;1;1.67
Elif Elmas;MKD;FWMF;Napoli;Serie A;23;20;6;5;1.74
Mohamed Elneny;EGY;MF;Arsenal;Premier League;30;5;1;0;0
Aritz Elustondo;ESP;DF;Real Sociedad;La Liga;28;16;12;0;0.53
Nico Elvedi;SUI;DF;M'Gladbach;Bundesliga;26;17;17;2;0.61
Rodrigo Ely;BRA;DF;Almería;La Liga;29;20;20;0;0.63
Sepe Elye Wahi;FRA;FW;Montpellier;Ligue 1;20;19;18;7;1.93
Mohamed Elyounoussi;NOR;MFFW;Southampton;Premier League;28;20;17;0;1.79
Adri Embarba;ESP;FWMF;Almería;La Liga;30;16;9;1;2.53
Adri Embarba;ESP;FW;Espanyol;La Liga;30;1;0;0;5
Breel Embolo;SUI;FW;Monaco;Ligue 1;25;23;17;12;1.99
Emerson;BRA;DF;Tottenham;Premier League;24;18;14;1;0.9
Youssef En-Nesyri;MAR;FW;Sevilla;La Liga;25;17;8;3;3.17
Wataru Endo;JPN;MF;Stuttgart;Bundesliga;30;19;19;3;1.51
Arne Engels;BEL;MF;Augsburg;Bundesliga;19;5;5;0;0.85
Christian Eriksen;DEN;MF;Manchester Utd;Premier League;30;19;18;1;1.39
Martin Erlic;CRO;DF;Sassuolo;Serie A;25;14;14;0;0.07
Gonzalo Escalante;ARG;MF;Cremonese;Serie A;29;9;7;0;0.97
Gonzalo Escalante;ARG;MF;Cádiz;La Liga;29;3;2;2;2.17
Sergio Escudero;ESP;DF;Valladolid;La Liga;33;10;10;0;1.41
Alfonso Espino;URU;DF;Cádiz;La Liga;31;21;20;0;0.56
Bernardo Espinosa;COL;DF;Girona;La Liga;33;13;10;0;0.64
Salvatore Esposito;ITA;MF;Spezia;Serie A;22;4;2;0;0.48
Maxime Estève;FRA;DF;Montpellier;Ligue 1;20;18;14;0;0.27
Pervis Estupiñán;ECU;DF;Brighton;Premier League;25;18;15;0;0.57
Jonny Evans;NIR;DF;Leicester City;Premier League;35;9;9;0;0.11
Edu Expósito;ESP;MF;Espanyol;La Liga;26;18;11;2;1.26
Eberechi Eze;ENG;MFFW;Crystal Palace;Premier League;24;22;19;3;2.27
Nicolás Ezequiel Fernández;ARG;MFDF;Elche;La Liga;23;9;2;0;0.29
Abdessamad Ezzalzouli;MAR;FWMF;Osasuna;La Liga;21;14;8;0;2.15
?ukasz Fabia?ski;POL;GK;West Ham;Premier League;37;22;22;0;0
Fabinho;BRA;MF;Liverpool;Premier League;29;18;14;0;0.58
Fábio;BRA;DFMF;Nantes;Ligue 1;32;6;3;0;1.2
Noah Fadiga;SEN;DF;Brest;Ligue 1;23;13;12;1;0.92
Wout Faes;BEL;DF;Leicester City;Premier League;24;16;16;0;0.25
Wout Faes;BEL;DF;Reims;Ligue 1;24;3;3;0;0
Nicolò Fagioli;ITA;MF;Juventus;Serie A;22;12;6;2;0.95
Ralf Fährmann;GER;GK;Schalke 04;Bundesliga;34;3;3;0;0
Romain Faivre;FRA;FW;Lorient;Ligue 1;24;2;1;0;2.31
Romain Faivre;FRA;MF;Lyon;Ligue 1;24;10;3;0;1.52
Radamel Falcao;COL;FWMF;Rayo Vallecano;La Liga;37;17;3;2;2.88
Wladimiro Falcone;ITA;GK;Lecce;Serie A;27;22;22;0;0
Fali;ESP;DFMF;Cádiz;La Liga;29;14;12;0;0.39
Mamadou Fall;SEN;DF;Villarreal;La Liga;20;1;0;0;0
Davide Faraoni;ITA;DF;Hellas Verona;Serie A;31;8;7;0;1.89
Ansu Fati;ESP;FW;Barcelona;La Liga;20;20;7;3;4.3
Khalil Fayad;FRA;MF;Montpellier;Ligue 1;18;13;5;0;0.87
Cheikh Faye;SEN;FW;Montpellier;Ligue 1;24;2;0;0;0
Federico Fazio;ARG;DF;Salernitana;Serie A;35;12;12;1;0.93
Jacopo Fazzini;ITA;MF;Empoli;Serie A;19;11;2;0;0.74
Zouhair Feddal;MAR;DF;Valladolid;La Liga;34;8;4;0;0.24
Nabil Fekir;FRA;MF;Betis;La Liga;29;13;10;2;2.18
Felipe;BRA;DF;Nott'ham Forest;Premier League;33;1;0;0;1.11
Felipe;BRA;DF;Atlético Madrid;La Liga;33;3;2;0;0.45
Luiz Felipe;ITA;DF;Betis;La Liga;25;11;10;0;0.23
João Félix;POR;MFFW;Chelsea;Premier League;23;2;2;1;5.63
João Félix;POR;FWMF;Atlético Madrid;La Liga;23;14;7;4;3.61
Ohis Felix Uduokhai;GER;DF;Augsburg;Bundesliga;25;12;9;0;0.2
Kiko Femenía;ESP;DF;Villarreal;La Liga;32;14;10;0;0
Evan Ferguson;IRL;FW;Brighton;Premier League;18;6;2;3;3.08
Lewis Ferguson;SCO;MF;Bologna;Serie A;23;15;12;3;1.7
Bruno Fernandes;POR;MFFW;Manchester Utd;Premier League;28;21;21;5;2.05
Edimilson Fernandes;SUI;DF;Mainz 05;Bundesliga;26;18;14;0;0.64
Aitor Fernández;ESP;GK;Osasuna;La Liga;31;10;10;0;0
Álex Fernández;ESP;MFFW;Cádiz;La Liga;30;19;14;3;0.88
Álvaro Fernández;ESP;GK;Espanyol;La Liga;24;10;10;0;0
Carlos Fernández;ESP;FW;Real Sociedad;La Liga;26;10;4;0;2.5
Enzo Fernández;ARG;MF;Chelsea;Premier League;22;2;2;0;1.5
Federico Fernández;ARG;DF;Elche;La Liga;33;1;1;0;0
Joaquín Fernández;ESP;DF;Valladolid;La Liga;26;16;14;1;0.55
Mateo Fernández;ESP;FWMF;Leeds United;Premier League;19;2;0;0;0
Fernando;ESP;GK;Almería;La Liga;32;20;20;0;0
Fernando;BRA;MFDF;Sevilla;La Liga;35;13;12;0;0.28
Alex Ferrari;ITA;DF;Sampdoria;Serie A;28;12;10;0;0.52
Alex Ferrari;ITA;DF;Cremonese;Serie A;28;5;5;0;0
Salvador Ferrer;ESP;DF;Spezia;Serie A;25;2;0;0;0
Jordan Ferri;FRA;MF;Montpellier;Ligue 1;30;19;18;0;0.36
Fidel;ESP;FWMF;Elche;La Liga;33;10;4;0;0.44
Karol Fila;POL;DF;Strasbourg;Ligue 1;24;2;0;0;2
Roberto Firmino;BRA;FWMF;Liverpool;Premier League;31;13;11;7;3.2
Junior Firpo;ESP;DF;Leeds United;Premier League;26;5;1;0;0
Kilian Fischer;GER;DFFW;Wolfsburg;Bundesliga;22;3;1;0;0
Mark Flekken;NED;GK;Freiburg;Bundesliga;29;20;20;0;0
Florian Flick;GER;MF;Schalke 04;Bundesliga;22;8;5;0;0.35
Alexis Flips;FRA;DFMF;Reims;Ligue 1;23;17;14;2;2.59
Alessandro Florenzi;ITA;DF;Milan;Serie A;31;2;1;0;0
Phil Foden;ENG;FWDF;Manchester City;Premier League;22;18;13;7;2.41
Datro Fofana;CIV;FWMF;Chelsea;Premier League;20;1;0;0;5
Seko Fofana;CIV;MF;Lens;Ligue 1;27;20;19;3;2.16
Wesley Fofana;FRA;DF;Leicester City;Premier League;22;2;2;0;1
Wesley Fofana;FRA;DF;Chelsea;Premier League;22;2;2;0;0.5
Yahia Fofana;FRA;GK;Angers;Ligue 1;22;8;8;0;0
Youssouf Fofana;FRA;MF;Monaco;Ligue 1;24;22;21;1;1.03
Thomas Foket;BEL;DF;Reims;Ligue 1;28;8;7;0;0.14
José Fonte;POR;DF;Lille;Ligue 1;39;19;18;1;0.62
Pablo Fornals;ESP;FWMF;West Ham;Premier League;26;18;11;1;1.59
Emil Forsberg;SWE;MFFW;RB Leipzig;Bundesliga;31;17;7;2;0.83
Adam Forshaw;ENG;MF;Leeds United;Premier League;31;5;2;0;0
Fraser Forster;ENG;GK;Tottenham;Premier League;34;2;2;0;0
Philipp Förster;GER;MF;Bochum;Bundesliga;28;17;11;2;1.25
Steven Fortes;CPV;DF;Lens;Ligue 1;30;1;0;0;0
Timothy Fosu-Mensah;NED;DF;Leverkusen;Bundesliga;25;7;1;0;1.54
Dimitri Foulquier;FRA;DFMF;Valencia;La Liga;29;15;6;0;0.27
Juan Foyth;ARG;DF;Villarreal;La Liga;25;9;7;1;0.43
Raphael Framberger;GER;DFFW;Augsburg;Bundesliga;27;3;2;0;0
Tyrese Francois;AUS;FW;Fulham;Premier League;22;1;0;0;0
Bartol Franji?;CRO;MF;Wolfsburg;Bundesliga;23;5;3;0;0.8
Przemys?aw Frankowski;POL;DFMF;Lens;Ligue 1;27;22;17;2;1.09
Ryan Fraser;SCO;FW;Newcastle Utd;Premier League;28;8;3;0;1.71
Davide Frattesi;ITA;MF;Sassuolo;Serie A;23;21;21;5;1.98
Fred;BRA;MF;Manchester Utd;Premier League;29;19;7;2;2.47
Ryan Fredericks;ENG;DF;Bournemouth;Premier League;30;9;5;0;0
Iván Fresneda;ESP;DF;Valladolid;La Liga;18;10;7;0;0.12
Remo Freuler;SUI;MF;Nott'ham Forest;Premier League;30;18;16;0;0.37
Michael Frey;SUI;FW;Schalke 04;Bundesliga;28;5;2;0;3.46
Marco Friedl;AUT;DF;Werder Bremen;Bundesliga;24;18;18;0;0.18
Marvin Friedrich;GER;DF;M'Gladbach;Bundesliga;27;15;10;1;0.65
Jeremie Frimpong;NED;DFMF;Leverkusen;Bundesliga;22;20;19;5;1.23
Chris Führich;GER;FWMF;Stuttgart;Bundesliga;25;19;13;4;2.37
Angelo Fulgini;FRA;DF;Lens;Ligue 1;26;1;0;0;0
Angelo Fulgini;FRA;MF;Mainz 05;Bundesliga;26;16;5;0;1.38
Niclas Füllkrug;GER;FW;Werder Bremen;Bundesliga;30;19;19;13;3.03
Matteo Gabbia;ITA;DF;Milan;Serie A;23;11;6;0;0.15
Manolo Gabbiadini;ITA;FWMF;Sampdoria;Serie A;31;19;11;4;3.47
Gianluca Gaetano;ITA;MF;Napoli;Serie A;22;3;0;0;5
Roberto Gagliardini;ITA;MF;Inter;Serie A;28;10;3;0;2.27
Adolfo Gaich;ARG;FW;Hellas Verona;Serie A;23;1;0;0;0
Cody Gakpo;NED;FW;Liverpool;Premier League;23;3;3;0;3.21
Javi Galán;ESP;DF;Celta Vigo;La Liga;28;20;19;0;0.37
Iñigo Ruiz de Galarreta;ESP;MF;Mallorca;La Liga;29;17;15;0;0.48
Pablo Galdames Millán;CHI;DF;Cremonese;Serie A;26;1;0;0;0
Conor Gallagher;ENG;MFFW;Chelsea;Premier League;23;20;10;1;1.4
Antonino Gallo;ITA;DF;Lecce;Serie A;23;18;15;0;0.2
Gauthier Gallon;FRA;GK;Troyes;Ligue 1;29;15;15;0;0
Cristian Gamboa;CRC;DF;Bochum;Bundesliga;33;15;15;0;0.5
Kévin Gameiro;FRA;FW;Strasbourg;Ligue 1;35;20;16;7;1.94
Idrissa Gana Gueye;SEN;MF;Everton;Premier League;33;16;15;0;0.07
Ignatius Ganago;CMR;FWMF;Nantes;Ligue 1;23;16;8;3;1.74
Ignatius Ganago;CMR;FW;Lens;Ligue 1;23;4;0;0;1.43
Silvère Ganvoula M'Boussy;CGO;FW;Bochum;Bundesliga;26;12;0;0;3.91
Aleix García;ESP;MF;Girona;La Liga;25;21;21;0;1.23
Álvaro García;ESP;FWMF;Rayo Vallecano;La Liga;30;18;17;4;1.45
Borja García;ESP;FWMF;Girona;La Liga;32;3;2;1;2
Carlos García;ESP;DF;Cádiz;La Liga;22;1;0;0;0
Dani García;ESP;MF;Athletic Club;La Liga;32;13;7;0;0.3
David García;ESP;DF;Osasuna;La Liga;28;18;18;1;0.46
Eric García;ESP;DF;Barcelona;La Liga;22;11;9;1;0.36
Francisco Garcia;ESP;DF;Rayo Vallecano;La Liga;23;20;20;0;0.9
Raúl García;ESP;FWMF;Athletic Club;La Liga;36;20;4;1;4.92
Rubén García;ESP;MFFW;Osasuna;La Liga;29;17;5;1;1.88
Unai García;ESP;DF;Osasuna;La Liga;31;16;15;0;0.28
Alejandro Garnacho;ESP;FW;Manchester Utd;Premier League;18;11;3;1;3.33
James Garner;ENG;MF;Everton;Premier League;21;6;0;0;1.25
Felix Garreta;ESP;DF;Betis;La Liga;18;1;1;0;0
Sékou Gassama;SEN;FW;Valladolid;La Liga;27;1;0;0;5
Johan Gastien;FRA;MF;Clermont Foot;Ligue 1;35;18;18;2;0.69
Federico Gatti;ITA;DF;Juventus;Serie A;24;6;6;0;1
Gavi;ESP;MFFW;Barcelona;La Liga;18;20;15;1;0.92
Paulo Gazzaniga;ARG;GK;Girona;La Liga;31;11;11;0;0
David de Gea;ESP;GK;Manchester Utd;Premier League;32;22;22;0;0
Dennis Geiger;GER;MF;Hoffenheim;Bundesliga;24;17;17;1;0.31
Joe Gelhardt;ENG;FW;Leeds United;Premier League;20;15;1;0;4.17
Valentin Gendrey;FRA;DF;Lecce;Serie A;22;22;20;0;0.3
Denis Genreau;AUS;MFFW;Toulouse;Ligue 1;23;8;0;0;0
Yannick Gerhardt;GER;MF;Wolfsburg;Bundesliga;28;15;12;4;1.57
Valère Germain;FRA;FWMF;Montpellier;Ligue 1;32;20;5;2;2.62
Gerson;BRA;MF;Marseille;Ligue 1;25;10;6;2;1.96
Ismaël Gharbi;ESP;MFFW;Paris S-G;Ligue 1;18;3;0;0;2
Paolo Ghiglione;ITA;DF;Cremonese;Serie A;26;6;6;0;0.58
Saman Ghoddos;IRN;MFFW;Brentford;Premier League;29;9;0;0;1
Faouzi Ghoulam;ALG;DF;Angers;Ligue 1;32;1;0;0;0
Morgan Gibbs-White;ENG;FWMF;Wolves;Premier League;23;2;2;0;1.5
Morgan Gibbs-White;ENG;MFFW;Nott'ham Forest;Premier League;23;19;18;2;2.14
Niko Gießelmann;GER;DF;Union Berlin;Bundesliga;31;16;10;0;1.62
Samuel Gigot;FRA;DF;Marseille;Ligue 1;29;17;16;2;0.57
Rafa? Gikiewicz;POL;GK;Augsburg;Bundesliga;35;16;16;0;0
Óscar Gil;ESP;DF;Espanyol;La Liga;25;16;15;0;0.43
Mario Gila;ESP;DF;Lazio;Serie A;22;4;0;0;0
Billy Gilmour;SCO;MF;Brighton;Premier League;21;7;2;0;1.11
Álvaro Giménez;ESP;FW;Cádiz;La Liga;31;1;0;0;0
Gvidas Gineitis;LTU;MF;Torino;Serie A;18;1;1;0;0
Matthias Ginter;GER;DF;Freiburg;Bundesliga;29;20;20;3;0.5
Andrei Girotto;BRA;DFMF;Nantes;Ligue 1;30;21;21;1;0.77
Olivier Giroud;FRA;FW;Milan;Serie A;36;20;16;7;3.6
Serge Gnabry;GER;FWMF;Bayern Munich;Bundesliga;27;20;13;9;3.98
Degnand Gnonto;ITA;FWMF;Leeds United;Premier League;19;10;8;2;1.63
Ben Godfrey;ENG;DF;Everton;Premier League;25;4;3;0;1.3
Pierluigi Gollini;ITA;GK;Fiorentina;Serie A;27;3;3;0;0
Aleksandr Golovin;RUS;MFFW;Monaco;Ligue 1;26;22;18;5;2.06
André Gomes;POR;MF;Lille;Ligue 1;29;14;8;1;1.18
Angel Gomes;ENG;MF;Lille;Ligue 1;22;21;21;2;1.51
João Gomes;BRA;MF;Wolves;Premier League;22;1;0;1;10
Toti Gomes;POR;DF;Wolves;Premier League;24;7;3;0;0
Dani Gómez;ESP;MFFW;Espanyol;La Liga;24;7;0;0;0
Joe Gomez;ENG;DF;Liverpool;Premier League;25;17;11;0;0.24
Maxi Gómez;URU;FW;Valencia;La Liga;26;3;0;0;2.5
Moi Gómez;ESP;MFFW;Osasuna;La Liga;28;20;20;1;0.6
Papu Gómez;ARG;MFFW;Sevilla;La Liga;34;13;6;0;2.16
Sergi Gómez;ESP;DF;Espanyol;La Liga;30;14;12;0;0.16
Sergio Gómez;ESP;DFMF;Manchester City;Premier League;22;5;0;0;1.67
Maxime Gonalons;FRA;MF;Clermont Foot;Ligue 1;33;11;8;1;0.49
Diego González;ESP;DF;Elche;La Liga;28;11;6;0;0.62
Édgar González;ESP;DF;Betis;La Liga;25;16;12;0;0.39
Giovanni González;URU;DF;Mallorca;La Liga;28;8;5;0;0.69
Joan Gonzàlez;ESP;MF;Lecce;Serie A;21;22;19;1;0.79
Nicolás González;ARG;FWMF;Fiorentina;Serie A;24;11;4;3;3.8
Nicolás González;ESP;MF;Valencia;La Liga;21;13;6;1;1.36
Oumar Gonzalez;CMR;DF;Ajaccio;Ligue 1;24;18;18;0;0.4
Roberto González;ESP;FWMF;Betis;La Liga;22;2;0;0;0
Jacek Góralski;POL;MF;Bochum;Bundesliga;30;3;2;0;0
Anthony Gordon;ENG;MFFW;Newcastle Utd;Premier League;21;2;0;0;3.33
Anthony Gordon;ENG;FW;Everton;Premier League;21;16;12;3;2.13
Leon Goretzka;GER;MF;Bayern Munich;Bundesliga;28;15;13;3;2.48
Andoni Gorosabel;ESP;DF;Real Sociedad;La Liga;26;13;8;0;0.73
Robin Gosens;GER;DF;Inter;Serie A;28;18;1;1;1.5
Mario Götze;GER;MF;Eint Frankfurt;Bundesliga;30;19;19;2;0.96
Amine Gouiri;FRA;FWMF;Nice;Ligue 1;22;3;3;0;2
Amine Gouiri;FRA;FW;Rennes;Ligue 1;22;17;17;9;2.85
Jeffrey Gouweleeuw;NED;DF;Augsburg;Bundesliga;31;19;19;0;0.55
Jonathan Gradit;FRA;DF;Lens;Ligue 1;30;17;17;1;0.19
José Gragera;ESP;MF;Espanyol;La Liga;22;1;0;0;0
Alberto Grassi;ITA;MF;Empoli;Serie A;27;11;6;0;0.77
Ryan Gravenberch;NED;MF;Bayern Munich;Bundesliga;20;12;0;0;2.5
Andrew Gravillon;GLP;DF;Torino;Serie A;25;1;0;0;0
Andrew Gravillon;GLP;DF;Reims;Ligue 1;25;13;12;0;0.7
Demarai Gray;ENG;FWMF;Everton;Premier League;26;20;19;3;1.93
Adrian Grbi?;AUT;MFFW;Lorient;Ligue 1;26;2;0;0;10
Ivo Grbi?;CRO;GK;Atlético Madrid;La Liga;27;4;2;0;0
Jack Grealish;ENG;FW;Manchester City;Premier League;27;15;11;2;1.64
Sam Greenwood;ENG;MFFW;Leeds United;Premier League;21;12;2;1;3.14
Michael Gregoritsch;AUT;FW;Freiburg;Bundesliga;28;20;19;7;3.04
Leo Greiml;AUT;DF;Schalke 04;Bundesliga;21;4;2;0;0.4
Clément Grenier;FRA;MF;Mallorca;La Liga;32;14;6;0;0.45
Antoine Griezmann;FRA;FWMF;Atlético Madrid;La Liga;31;20;13;6;3.55
Vincenzo Grifo;ITA;FWMF;Freiburg;Bundesliga;29;19;16;11;2.17
Lennart Grill;GER;GK;Union Berlin;Bundesliga;24;4;4;0;0
Christian Groß;GER;MF;Werder Bremen;Bundesliga;34;17;15;1;0.23
Pascal Groß;GER;MFDF;Brighton;Premier League;31;21;21;6;1.04
Brajan Gruda;GER;MF;Mainz 05;Bundesliga;18;2;0;0;0
Ilia Gruev;BUL;MF;Werder Bremen;Bundesliga;22;18;11;0;0.19
Carlos Gruezo;ECU;MF;Augsburg;Bundesliga;27;13;12;0;0.19
Vicente Guaita;ESP;GK;Crystal Palace;Premier League;36;22;22;0;0
Andrés Guardado;MEX;MFFW;Betis;La Liga;36;14;8;1;0.39
Sergi Guardiola;ESP;FW;Valladolid;La Liga;31;14;8;0;1.96
Sergi Guardiola;ESP;FW;Cádiz;La Liga;31;2;1;1;5.45
Nemanja Gudelj;SRB;DFMF;Sevilla;La Liga;31;19;18;2;1.29
Gabriel Gudmundsson;SWE;FWDF;Lille;Ligue 1;23;5;1;0;0.83
Gonçalo Guedes;POR;FWMF;Wolves;Premier League;26;13;8;1;2.41
Axel Gueguin;FRA;FWMF;Montpellier;Ligue 1;17;2;0;0;0
Marc Guéhi;ENG;DF;Crystal Palace;Premier League;22;21;21;0;0.33
Mattéo Guendouzi;FRA;MF;Marseille;Ligue 1;23;21;17;1;1.3
Raphaël Guerreiro;POR;DF;Dortmund;Bundesliga;29;16;16;1;0.97
Evann Guessand;FRA;FWMF;Nantes;Ligue 1;21;21;12;2;1.43
Ander Guevara;ESP;MF;Real Sociedad;La Liga;25;5;1;0;0.67
Pape Gueye;SEN;MF;Sevilla;La Liga;24;2;2;0;2.11
Pape Gueye;SEN;MFDF;Marseille;Ligue 1;24;14;4;1;1.45
Josuha Guilavogui;FRA;MFDF;Wolfsburg;Bundesliga;32;13;4;1;0.52
Frederic Guilbert;FRA;DF;Strasbourg;Ligue 1;28;3;2;0;0
Hugo Guillamón;ESP;MF;Valencia;La Liga;23;17;14;1;0.16
Bruno Guimarães;BRA;MF;Newcastle Utd;Premier League;25;17;17;3;0.9
Sehrou Guirassy;GUI;MF;Rennes;Ligue 1;26;1;0;0;6.67
Sehrou Guirassy;GUI;FW;Stuttgart;Bundesliga;26;13;12;6;2.59
Rafik Guitane;FRA;FW;Reims;Ligue 1;23;1;0;0;0
Péter Gulácsi;HUN;GK;RB Leipzig;Bundesliga;32;6;6;0;0
Manuel Gulde;GER;DFFW;Freiburg;Bundesliga;32;7;2;0;0
