Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;Assists;Touches
21;Amine Adli;FRA;FW;Leverkusen;Bundesliga;22;2000;13;6;652;7.2;1;1.94;0.69;35.7;0.07;0.2;12.3;0.28;48.3
22;Yacine Adli;FRA;MFFW;Milan;Serie A;22;2000;4;1;116;1.3;0;1.54;1.54;100;0;0;18.5;0;60
23;Michel Aebischer;SUI;FWMF;Bologna;Serie A;26;1997;18;8;775;8.6;1;1.16;0.23;20;0.1;0.5;15.4;0;47.2
24;Felix Afena-Gyan;GHA;FWMF;Cremonese;Serie A;20;2003;12;2;359;4;0;2.5;0.25;10;0;0;16.4;0;34.3
25;Emmanuel Agbadou;CIV;DF;Reims;Ligue 1;25;1997;19;18;1599;17.8;0;0.79;0.11;14.3;0;0;15.4;0.11;62.3
26;Lucien Agoume;FRA;MF;Troyes;Ligue 1;21;2002;5;4;286;3.2;0;0.31;0;0;0;0;12.4;0;69.7
27;Felix Agu;GER;DFFW;Werder Bremen;Bundesliga;23;1999;3;0;49;0.5;0;2;0;0;0;0;15.9;0;66
28;Álvaro Aguado;ESP;MF;Valladolid;La Liga;26;1996;19;12;1130;12.6;0;0.71;0.16;22.2;0;0;25.4;0.16;59.8
29;Kevin Agudelo;COL;MFFW;Spezia;Serie A;24;1998;21;16;1443;16;0;1.13;0.31;27.8;0;0;20.5;0;41.8
30;Nayef Aguerd;MAR;DF;West Ham;Premier League;26;1996;6;5;515;5.7;0;0.88;0;0;0;0;8.9;0;50.5
31;Ruben Aguilar;FRA;DF;Monaco;Ligue 1;29;1993;13;7;615;6.8;0;0.29;0.29;100;0;0;12.1;0;69.3
32;Naouirou Ahamada;FRA;MFFW;Crystal Palace;Premier League;20;2002;2;0;16;0.2;0;5;0;0;0;0;17.3;0;85
33;Naouirou Ahamada;FRA;MF;Stuttgart;Bundesliga;20;2002;17;17;1398;15.5;2;1.03;0.32;31.3;0.13;0.4;22.1;0.13;43.5
34;Amar Ahmed;SWE;FW;Troyes;Ligue 1;18;2004;1;0;20;0.2;0;0;0;0;0;0;0;0;90
35;Jean-Eudes Aholou;CIV;MF;Strasbourg;Ligue 1;28;1994;19;10;834;9.3;1;0.97;0.32;33.3;0.11;0.33;22.8;0;49.7
36;Joseph Aidoo;GHA;DF;Celta Vigo;La Liga;27;1995;20;20;1800;20;2;0.45;0.1;22.2;0.22;1;15.6;0;60.3
37;Ola Aina;NGA;DF;Torino;Serie A;26;1996;12;8;676;7.5;1;0.93;0.4;42.9;0.14;0.33;16.1;0.13;68.5
38;Rayan Aït Nouri;FRA;DF;Wolves;Premier League;21;2001;17;9;913;10.1;1;0.99;0.5;50;0.1;0.2;14.1;0;61.8
39;Emanuel Aiwum;AUT;DF;Cremonese;Serie A;22;2000;15;11;1029;11.4;0;0.26;0.09;33.3;0;0;17.7;0;58.7
40;Kristoffer Ajer;NOR;DF;Brentford;Premier League;24;1998;9;9;763;8.5;0;0.12;0;0;0;0;6;0;48.5
41;Ludovic Ajorque;FRA;FW;Strasbourg;Ligue 1;28;1994;13;9;771;8.6;1;2.56;0.81;31.8;0;0;15.1;0;39.1
42;Ludovic Ajorque;FRA;FW;Mainz 05;Bundesliga;28;1994;4;3;231;2.6;0;2.69;0.77;28.6;0;0;16.4;0.38;44.6
43;Manuel Akanji;SUI;DF;Manchester City;Premier League;27;1995;15;14;1286;14.3;0;0.77;0.14;18.2;0;0;16.4;0.07;88.6
44;Nathan Aké;NED;DF;Manchester City;Premier League;27;1995;15;13;1156;12.8;0;0.31;0;0;0;0;10.5;0;98.4
45;Sergio Akieme;ESP;DF;Almería;La Liga;25;1997;21;21;1890;21;0;1.05;0.29;27.3;0;0;20.4;0;53.2
46;Maghnes Akliouche;FRA;MFDF;Monaco;Ligue 1;20;2002;6;3;248;2.8;0;0.36;0.36;100;0;0;8.4;0;47.9
47;Paul Akouokou;CIV;MF;Betis;La Liga;25;1997;6;2;238;2.6;0;0.77;0.38;50;0;0;25.6;0;45.8
48;Jean-Daniel Akpa-Akpro;CIV;MF;Empoli;Serie A;30;1992;12;7;606;6.7;0;1.04;0.3;28.6;0;0;22.6;0;47
49;Kevin Akpoguma;NGA;DF;Hoffenheim;Bundesliga;27;1995;16;10;1030;11.4;0;0.53;0.09;16.7;0;0;17;0;60.6
50;David Alaba;AUT;DF;Real Madrid;La Liga;30;1992;17;15;1365;15.2;1;0.59;0.07;11.1;0.11;1;20.7;0.2;61.8
51;Tomás Alarcón;CHI;MF;Cádiz;La Liga;24;1999;4;2;223;2.5;0;0.8;0.4;50;0;0;36.4;0;45.2
52;Lucas Alario;ARG;FW;Eint Frankfurt;Bundesliga;30;1992;12;2;248;2.8;1;3.21;0.71;22.2;0.11;0.5;14.9;0;33.2
53;Jordi Alba;ESP;DF;Barcelona;La Liga;33;1989;14;9;931;10.3;1;0.87;0.19;22.2;0.11;0.5;23.7;0.29;103.4
54;Luis Alberto;ESP;MF;Lazio;Serie A;30;1992;19;11;1053;11.7;4;1.45;0.6;41.2;0.18;0.43;22.3;0.26;75
55;Raúl Albiol;ESP;DF;Villarreal;La Liga;37;1985;17;17;1519;16.9;0;0.06;0;0;0;0;33.6;0;70.8
56;Marc Albrighton;ENG;FWMF;Leicester City;Premier League;33;1989;6;1;237;2.6;1;0.77;0.38;50;0.5;1;8;0;66.9
57;Thiago Alcántara;ESP;MF;Liverpool;Premier League;31;1991;14;14;1154;12.8;0;0.7;0.08;11.1;0;0;25.2;0;87.7
58;Carlos Alcaraz;ARG;MF;Southampton;Premier League;20;2002;3;1;134;1.5;1;2.67;0.67;25;0.25;1;20.1;0;46
59;Rubén Alcaraz;ESP;MF;Cádiz;La Liga;31;1991;16;11;1008;11.2;1;1.52;0.18;11.8;0.06;0.5;22.3;0;51.6
60;Omar Alderete;PAR;DF;Getafe;La Liga;26;1996;8;7;630;7;0;0.71;0.14;20;0;0;16.4;0;56.1
61;Iván Alejo;ESP;MFFW;Cádiz;La Liga;28;1995;16;8;729;8.1;0;1.48;0.25;16.7;0;0;21.6;0.12;38.1
62;Doðan Alemdar;TUR;GK;Rennes;Ligue 1;20;2002;3;2;225;2.5;0;0;0;0;0;0;0;0;31.6
63;Carles Aleñá;ESP;MF;Getafe;La Liga;25;1998;19;19;1455;16.2;2;1.3;0.49;38.1;0.1;0.25;23.3;0.12;45.6
64;Trent Alexander-Arnold;ENG;DF;Liverpool;Premier League;24;1998;20;17;1441;16;1;1.31;0.19;14.3;0.05;0.33;22.5;0.06;97.5
65;Alejandro Alfaro;ESP;MF;Elche;La Liga;20;2002;1;0;15;0.2;0;0;0;0;0;0;0;0;10
66;Ángel Algobia;ESP;MF;Getafe;La Liga;23;1999;14;9;747;8.3;0;0.36;0;0;0;0;26.6;0;52.4
67;Mohamed Ali Cho;FRA;FW;Real Sociedad;La Liga;19;2004;8;3;317;3.5;0;3.14;1.43;45.5;0;0;19.3;0.57;39.7
68;Faride Alidou;GER;DFMF;Eint Frankfurt;Bundesliga;21;2001;9;0;123;1.4;0;1.43;0;0;0;0;17;0;56.4
69;Alisson;BRA;GK;Liverpool;Premier League;30;1992;20;20;1800;20;0;0;0;0;0;0;0;0.05;39.5
70;Jim Allevinah;GAB;DFFW;Clermont Foot;Ligue 1;27;1995;21;13;1220;13.6;1;1.4;0.29;21.1;0.05;0.25;17.2;0;43.8
71;Dele Alli;ENG;MF;Everton;Premier League;26;1996;2;0;40;0.4;0;0;0;0;0;0;0;0;50
72;Domingos André Ribeiro Almeida;POR;MF;Valencia;La Liga;22;2000;18;14;1255;13.9;2;0.79;0.36;45.5;0.18;0.4;23.3;0.22;59
73;Miguel Almirón;PAR;FW;Newcastle Utd;Premier League;29;1994;22;22;1816;20.2;10;2.33;0.74;31.9;0.21;0.67;16.8;0.05;47.3
74;Marcos Alonso;ESP;DF;Barcelona;La Liga;32;1990;12;6;620;6.9;1;0.43;0.14;33.3;0.33;1;12.4;0;89.3
75;Mickaël Alphonse;GLP;DF;Ajaccio;Ligue 1;33;1989;17;9;854;9.5;0;0.74;0.11;14.3;0;0;16.6;0;62.2
76;Éder Álvarez Balanta;COL;MF;Schalke 04;Bundesliga;29;1993;1;1;58;0.6;0;0;0;0;0;0;0;0;50
77;Carlos Álvarez;ESP;FW;Sevilla;La Liga;19;2003;1;0;10;0.1;0;0;0;0;0;0;0;0;0
78;Gastón Álvarez;URU;DF;Getafe;La Liga;22;2000;10;5;571;6.3;2;0.32;0.32;100;1;1;9.5;0;42.4
79;Julián Álvarez;ARG;FWMF;Manchester City;Premier League;23;2000;16;5;578;6.4;4;2.97;1.25;42.1;0.21;0.5;15.6;0;40.9
80;Agustín Álvarez Martínez;URU;FWMF;Sassuolo;Serie A;21;2001;16;1;296;3.3;1;3.33;0.91;27.3;0.09;0.33;15.2;0.3;36.1
81;Yeray Álvarez;ESP;DF;Athletic Club;La Liga;28;1995;18;18;1565;17.4;1;0.34;0.06;16.7;0.17;1;17.7;0.06;64.4
82;Ibrahim Amadou;FRA;DFMF;Angers;Ligue 1;29;1993;6;4;401;4.5;0;0.44;0;0;0;0;24.4;0;49.3
83;Daniel Amartey;GHA;DF;Leicester City;Premier League;28;1994;17;15;1365;15.2;0;0.2;0.13;66.7;0;0;25.2;0;71.8
84;Amath;SEN;MFFW;Mallorca;La Liga;26;1996;14;3;494;5.5;1;1.82;0.73;40;0.1;0.25;15.3;0;34.7
85;Jordan Amavi;FRA;DF;Getafe;La Liga;28;1994;4;1;193;2.1;0;0;0;0;0;0;0;0;56.2
86;Kelvin Amian;FRA;DF;Spezia;Serie A;25;1998;15;11;1049;11.7;0;0.77;0.09;11.1;0;0;19.8;0.09;50.2
87;Bruno Amione;ARG;DF;Hellas Verona;Serie A;21;2002;1;1;58;0.6;0;0;0;0;0;0;0;0;33.3
88;Bruno Amione;ARG;DF;Sampdoria;Serie A;21;2002;10;10;790;8.8;0;0.57;0.11;20;0;0;13.7;0.11;58
89;Nadiem Amiri;GER;MFFW;Leverkusen;Bundesliga;26;1996;15;5;636;7.1;2;1.69;0.7;41.7;0.17;0.4;24.7;0.14;53.7
90;Ethan Ampadu;WAL;DFMF;Spezia;Serie A;22;2000;16;16;1360;15.1;0;0.79;0.26;33.3;0;0;17.4;0.07;59.8
91;Sofyan Amrabat;MAR;MF;Fiorentina;Serie A;26;1996;18;14;1165;12.9;0;0.54;0.16;28.6;0;0;26.3;0;77.2
92;Joachim Andersen;DEN;DF;Crystal Palace;Premier League;26;1996;17;17;1477;16.4;1;0.67;0.3;45.5;0.09;0.2;11;0;76.2
93;Elliot Anderson;SCO;FWMF;Newcastle Utd;Premier League;20;2002;10;0;121;1.3;0;3.08;0.77;25;0;0;12;0;83.8
94;Felipe Anderson;BRA;FW;Lazio;Serie A;29;1993;22;20;1687;18.7;6;1.18;0.64;54.5;0.27;0.5;14.2;0.11;52.4
95;Benjamin André;FRA;MF;Lille;Ligue 1;32;1990;20;20;1756;19.5;1;0.77;0.1;13.3;0.07;0.5;16.2;0.05;81.9
96;Komnen Andri?;SRB;FW;Clermont Foot;Ligue 1;27;1995;23;15;1250;13.9;4;1.94;0.79;40.7;0.11;0.27;13.9;0.14;38
97;Robert Andrich;GER;MF;Leverkusen;Bundesliga;28;1994;18;17;1416;15.7;2;1.02;0.25;25;0.13;0.5;20.7;0.13;63.3
98;Angeliño;ESP;DF;Hoffenheim;Bundesliga;26;1997;19;18;1597;17.7;0;0.62;0.17;27.3;0;0;20.8;0.28;62.3
99;Fabrizio Angileri;ARG;DF;Getafe;La Liga;28;1994;8;7;510;5.7;0;0.53;0;0;0;0;23.6;0;47.9
100;Jaidon Anthony;ENG;MFFW;Bournemouth;Premier League;23;1999;17;7;783;8.7;3;1.95;1.15;58.8;0.18;0.3;19.9;0;52.9
101;Janis Antiste;FRA;FW;Sassuolo;Serie A;20;2002;2;0;52;0.6;1;1.67;1.67;100;1;1;17.3;0;38.3
102;Waldemar Anton;GER;DF;Stuttgart;Bundesliga;26;1996;20;20;1794;19.9;1;0.75;0.2;26.7;0.07;0.25;18;0;74.1
103;Marcos Antônio;BRA;MF;Lazio;Serie A;22;2000;11;3;311;3.5;0;0;0;0;0;0;0;0;70
104;Michail Antonio;JAM;FW;West Ham;Premier League;32;1990;21;11;1051;11.7;2;2.05;0.68;33.3;0.08;0.25;13.8;0.17;29
105;Antony;BRA;FW;Manchester Utd;Premier League;22;2000;12;11;908;10.1;3;3.27;1.39;42.4;0.09;0.21;20.4;0;52.6
106;Valentin Antov;BUL;DF;Monza;Serie A;22;2000;4;1;172;1.9;0;0;0;0;0;0;0;0;68.9
107;Christopher Antwi-Adjei;GHA;FWMF;Bochum;Bundesliga;29;1994;15;8;788;8.8;2;1.48;0.45;30.8;0.15;0.5;18.8;0.68;42.6
108;Anuar;MAR;MFFW;Valladolid;La Liga;28;1995;3;3;210;2.3;1;1.3;0.43;33.3;0.33;1;13;0;30.4
109;Houssem Aouar;FRA;MF;Lyon;Ligue 1;24;1998;9;6;402;4.5;1;1.33;0.67;50;0.17;0.33;14.1;0.22;79.1
110;Adil Aouchiche;FRA;MFFW;Lorient;Ligue 1;20;2002;6;0;85;0.9;0;3.33;1.11;33.3;0;0;16.3;0;70
111;Dennis Appiah;FRA;DFMF;Nantes;Ligue 1;30;1992;15;9;795;8.8;0;0.57;0.11;20;0;0;19.3;0;63
112;Mauro Arambarri;URU;MF;Getafe;La Liga;27;1995;7;7;587;6.5;0;0.92;0;0;0;0;27.5;0.15;50
113;Charles Aránguiz;CHI;MF;Leverkusen;Bundesliga;33;1989;10;4;493;5.5;1;0.91;0.36;40;0.2;0.5;18.5;0;66.9
114;Ronald Araújo;URU;DF;Barcelona;La Liga;23;1999;10;10;859;9.5;0;0.63;0;0;0;0;12.7;0.11;72.1
115;Cameron Archer;ENG;FWMF;Aston Villa;Premier League;21;2001;6;0;49;0.5;0;0;0;0;0;0;0;0;30
116;Taïryk Arconte;FRA;FWMF;Brest;Ligue 1;19;2003;2;0;32;0.4;0;2.5;2.5;100;0;0;9;0;15
117;Alphonse Areola;FRA;GK;West Ham;Premier League;29;1993;2;0;107;1.2;0;0;0;0;0;0;0;0;35.8
118;Joe Aribo;NGA;MFFW;Southampton;Premier League;26;1996;19;11;1094;12.2;2;1.07;0.66;61.5;0.15;0.25;10.7;0;42.4
119;Adam Armstrong;ENG;FW;Southampton;Premier League;26;1997;20;12;1027;11.4;1;1.67;0.79;47.4;0.05;0.11;16.8;0.09;32.2
120;Stuart Armstrong;SCO;MFFW;Southampton;Premier League;30;1992;18;7;767;8.5;1;1.53;0.35;23.1;0.08;0.33;18.4;0;53.8
121;Marko Arnautovi?;AUT;FW;Bologna;Serie A;33;1989;14;14;1189;13.2;8;1.59;0.76;47.6;0.24;0.5;15.7;0;36.3
